,City,Latitude,Longitude,Temp.(F),Humidity (%),Cloudiness(%),Wind Speed(mph),Max Temp
0,linhares,-19.39,-40.07,66.04,94,65,1.1,66.04
1,padang,-0.95,100.35,87.55,55,84,4.99,87.55
2,vaini,-21.2,-175.2,77.0,73,20,9.17,77.0
3,puerto escondido,15.85,-97.07,81.93,74,99,3.76,81.93
4,chokurdakh,70.63,147.92,47.01,55,97,7.11,47.01
5,cumberland,35.05,-78.87,73.96,88,75,5.5,75.2
6,jamestown,42.1,-79.24,70.95,83,1,5.61,72.0
7,kapaa,22.08,-159.32,77.43,78,90,19.46,78.8
8,provideniya,64.38,-173.3,51.8,87,90,11.18,51.8
9,busselton,-33.65,115.33,58.62,58,39,16.89,63.0
10,ponta delgada,37.73,-25.67,69.8,77,20,11.41,69.8
11,isangel,-19.55,169.27,84.2,74,40,9.17,84.2
12,north bend,43.41,-124.22,60.17,93,40,23.04,63.0
13,aripuana,-9.17,-60.63,73.76,46,1,1.86,73.76
14,katsuura,35.13,140.3,91.09,79,20,17.22,95.0
15,ushuaia,-54.8,-68.3,30.2,86,40,4.7,30.2
16,atuona,-9.8,-139.03,78.67,72,0,18.84,78.67
17,albany,42.6,-73.97,70.21,80,10,3.0,71.01
18,rikitea,-23.12,-134.97,70.05,75,65,22.93,70.05
19,qaanaaq,77.48,-69.36,33.58,81,0,2.26,33.58
20,guerrero negro,27.98,-114.06,71.76,67,0,8.72,71.76
21,zalantun,48.0,122.72,72.84,72,24,9.8,72.84
22,sibu,2.3,111.82,88.03,70,75,2.24,89.6
23,kumluca,36.37,30.29,80.24,56,9,3.24,80.24
24,yerbogachen,61.28,108.01,76.68,42,1,6.67,76.68
25,hobart,-42.88,147.33,49.55,50,30,6.93,51.8
26,hovd,48.01,91.64,70.45,33,49,2.93,70.45
27,port alfred,-33.59,26.89,55.33,67,0,10.2,55.33
28,barrow,71.29,-156.79,42.8,87,90,3.36,42.8
29,tuktoyaktuk,69.45,-133.04,51.8,76,75,5.82,51.8
30,port elizabeth,-33.92,25.57,50.0,81,0,5.82,50.0
31,hilo,19.73,-155.09,72.7,69,90,6.82,80.6
32,tiksi,71.69,128.87,43.21,71,90,12.48,43.21
33,pinawa,50.15,-95.88,61.21,59,31,5.61,61.21
34,saskylakh,71.92,114.08,56.95,47,88,9.53,56.95
35,hasaki,35.73,140.83,95.68,56,20,16.11,97.0
36,mataura,-46.19,168.86,52.0,71,69,11.01,52.0
37,yellowknife,62.46,-114.35,63.19,100,75,3.36,64.0
38,aklavik,68.22,-135.01,51.8,76,75,9.17,51.8
39,bidor,4.11,101.29,86.18,74,20,4.68,87.01
40,punta arenas,-53.15,-70.92,32.0,90,100,10.29,32.0
41,zyryanka,65.75,150.85,49.41,77,99,8.39,49.41
42,khatanga,71.97,102.5,52.03,56,59,6.29,52.03
43,dikson,73.51,80.55,37.26,87,100,22.21,37.26
44,clyde river,70.47,-68.59,39.2,93,90,12.75,39.2
45,kondoa,-4.9,35.78,53.26,95,14,4.27,53.26
46,ponta do sol,32.67,-17.1,70.14,73,40,6.93,71.6
47,chuy,-33.7,-53.46,49.46,73,95,8.77,49.46
48,vila velha,-20.33,-40.29,68.54,88,75,2.24,69.01
49,pevek,69.7,170.31,35.8,95,100,8.79,35.8
50,longyearbyen,78.22,15.64,46.4,87,75,6.93,46.4
51,bluff,-46.6,168.33,52.0,71,88,11.01,52.0
52,puerto ayora,-0.74,-90.35,66.0,97,90,4.0,66.0
53,kruisfontein,-34.0,24.73,47.88,61,0,10.83,47.88
54,salalah,17.02,54.09,78.8,88,90,5.82,78.8
55,sumenep,-7.02,113.87,86.43,63,51,11.5,86.43
56,narsaq,60.92,-46.05,42.8,45,22,3.36,42.8
57,castro,-24.79,-50.01,55.96,65,0,3.83,55.96
58,marawi,8.0,124.29,84.99,78,49,7.0,84.99
59,lebu,-37.62,-73.65,43.12,75,2,8.66,43.12
60,kingsville,27.52,-97.86,83.01,74,1,11.41,84.2
61,miri,4.41,114.01,91.22,63,20,3.36,93.2
62,ribeira grande,38.52,-28.7,70.12,69,55,12.64,70.12
63,vardo,70.37,31.11,48.2,93,75,11.41,48.2
64,leningradskiy,69.38,178.42,44.91,88,100,12.26,44.91
65,codrington,-38.27,141.97,56.46,71,100,14.18,56.46
66,georgetown,5.41,100.34,87.4,74,20,2.24,87.8
67,carnarvon,-24.87,113.63,66.2,77,90,6.93,66.2
68,xining,36.62,101.77,73.99,46,0,2.33,73.99
69,severo-kurilsk,50.68,156.12,54.57,84,76,9.69,54.57
70,pandan,14.05,124.17,88.47,61,100,5.91,88.47
71,prince rupert,54.32,-130.32,55.4,82,90,2.24,55.4
72,bethel,41.37,-73.41,72.09,100,1,3.49,73.0
73,along,28.17,94.77,75.58,90,100,0.89,75.58
74,bambous virieux,-20.34,57.76,61.39,87,20,8.05,66.0
75,butaritari,3.07,172.79,82.69,74,53,9.98,82.69
76,kraljevo,43.73,20.69,64.4,100,0,2.33,64.4
77,ayan,56.45,138.17,56.52,85,100,15.41,56.52
78,vagay,57.94,69.02,69.89,81,66,4.68,69.89
79,bubaque,11.28,-15.83,79.5,85,100,16.17,79.5
80,limoeiro do ajuru,-1.9,-49.38,78.64,84,43,7.78,78.64
81,puerto baquerizo moreno,-0.9,-89.6,66.33,90,98,7.83,66.33
82,port-gentil,-0.72,8.78,75.11,84,99,14.36,75.11
83,te anau,-45.42,167.72,48.4,64,36,5.14,48.4
84,bengkulu,-3.8,102.27,82.98,81,82,7.7,82.98
85,port hardy,50.7,-127.42,60.8,63,40,12.75,60.8
86,avarua,-21.21,-159.78,73.4,64,8,9.17,73.4
87,okha,53.57,142.95,62.85,93,100,10.98,62.85
88,tamale,9.4,-0.84,73.54,84,99,10.33,73.54
89,cape town,-33.93,18.42,53.02,87,75,12.75,55.0
90,thinadhoo,0.53,72.93,82.6,77,100,10.33,82.6
91,amapa,1.0,-52.0,71.38,98,58,1.74,71.38
92,new norfolk,-42.78,147.06,49.64,42,44,7.0,50.0
93,sao joao da barra,-21.64,-41.05,71.46,81,1,17.9,71.46
94,cayenne,4.93,-52.33,77.0,100,39,7.49,77.0
95,brae,60.4,-1.35,57.2,93,49,10.29,57.2
96,daru,-9.08,143.21,81.21,74,90,12.28,81.21
97,la palma,33.85,-118.05,67.8,68,1,10.29,71.01
98,brighton,50.83,-0.14,67.35,85,100,3.69,69.01
99,balkanabat,39.51,54.37,91.22,19,0,12.95,91.22
100,ancud,-41.87,-73.82,37.47,100,75,4.7,42.01
101,martapura,-3.42,114.85,80.6,78,40,13.87,80.6
102,cerinza,5.96,-72.95,51.12,86,100,2.48,51.12
103,east london,-33.02,27.91,55.4,66,0,12.75,55.4
104,thompson,55.74,-97.86,59.0,87,75,8.05,59.0
105,hithadhoo,-0.6,73.08,82.53,78,100,10.58,82.53
106,upernavik,72.79,-56.15,40.5,81,77,5.06,40.5
107,zhigansk,66.77,123.37,51.71,52,100,10.56,51.71
108,alexandria,31.22,29.96,78.8,78,40,9.17,78.8
109,cockburn town,21.46,-71.14,82.51,81,28,16.53,82.51
110,torbay,47.67,-52.73,64.47,82,40,11.41,66.0
111,kameshkovo,56.35,41.0,58.89,92,58,4.76,58.89
112,cherskiy,68.75,161.3,45.88,59,89,5.86,45.88
113,xinzhou,38.41,112.73,86.04,50,66,1.59,86.04
114,karia,11.73,11.16,73.13,82,99,6.87,73.13
115,kupang,-10.17,123.58,89.6,49,20,9.17,89.6
116,husavik,66.04,-17.34,59.0,67,94,10.29,59.0
117,ovalle,-30.6,-71.2,54.91,60,37,1.03,54.91
118,leh,34.17,77.58,63.84,38,0,6.58,63.84
119,ukiah,39.15,-123.21,75.83,22,1,9.17,87.8
120,maningrida,-12.07,134.27,86.58,25,61,9.71,86.58
121,malakal,9.53,31.66,71.98,89,99,1.72,71.98
122,yamada,39.47,141.95,91.53,51,0,9.98,91.53
123,pokhara,28.23,83.98,79.16,69,90,3.4,79.16
124,niono,14.25,-5.99,79.9,79,100,11.27,79.9
125,buala,-8.14,159.59,77.65,85,100,3.22,77.65
126,santiago del estero,-27.8,-64.26,59.58,30,68,10.47,59.58
127,alta floresta,-9.88,-56.09,71.1,44,47,2.3,71.1
128,boa vista,2.82,-60.67,78.8,83,20,6.93,78.8
129,neuquen,-38.95,-68.06,42.8,45,0,8.05,42.8
130,ocampo,21.65,-101.5,59.29,88,100,3.83,59.29
131,kiunga,-6.12,141.29,76.95,95,100,2.17,76.95
132,suarez,2.95,-76.7,72.0,53,81,1.95,72.0
133,saint-augustin,51.23,-58.65,61.03,92,1,6.89,61.03
134,barth,54.36,12.72,65.1,93,20,8.05,66.0
135,arraial do cabo,-22.97,-42.03,71.19,83,0,26.24,71.19
136,kieta,-6.22,155.63,82.99,73,96,5.1,82.99
137,novyy urengoy,66.08,76.63,71.49,56,0,10.42,71.49
138,labrea,-7.26,-64.8,75.45,53,0,0.51,75.45
139,pitiquito,30.7,-112.08,93.0,54,4,5.21,93.0
140,deputatskiy,69.3,139.9,43.75,62,90,7.52,43.75
141,calama,-22.47,-68.93,42.8,13,0,20.8,42.8
142,eyl,7.98,49.82,77.63,56,100,31.12,77.63
143,hushitai,41.93,123.51,82.4,78,75,11.18,82.4
144,mchinji,-13.8,32.88,51.76,48,0,3.06,51.76
145,odweyne,9.41,45.06,73.09,57,70,17.2,73.09
146,tual,-5.67,132.75,78.58,85,84,15.41,78.58
147,zhovkva,50.06,23.97,57.09,93,42,2.66,57.2
148,cumbum,9.73,77.3,79.66,67,98,8.03,79.66
149,valparai,10.37,76.97,77.0,94,75,4.99,77.0
150,cidreira,-30.18,-50.21,67.55,70,73,8.88,67.55
151,mar del plata,-38.0,-57.56,41.67,75,20,20.8,42.01
152,road town,18.42,-64.62,81.66,85,0,3.0,82.0
153,ambilobe,-13.2,49.05,66.83,74,43,3.38,66.83
154,trelew,-43.25,-65.31,40.82,64,0,19.62,40.82
155,ilulissat,69.22,-51.1,39.2,69,56,16.11,39.2
156,columbio,6.7,124.94,89.96,59,89,3.2,89.96
157,roquetas de mar,36.76,-2.61,87.8,35,100,20.8,87.8
158,aktau,43.65,51.2,66.2,63,0,2.24,66.2
159,labuhan,-6.88,112.21,86.9,61,28,6.62,86.9
160,portland,45.52,-122.68,75.83,36,20,9.17,79.0
161,hermanus,-34.42,19.23,54.0,83,5,11.01,54.0
162,barkly west,-28.54,24.52,35.6,69,0,6.93,35.6
163,price,39.6,-110.81,80.6,11,1,6.93,80.6
164,margate,51.38,1.39,69.24,68,92,3.04,71.01
165,iralaya,15.0,-83.23,81.23,85,97,12.77,81.23
166,caraballeda,10.61,-66.85,74.32,94,20,8.25,77.0
167,dubti,11.74,41.09,85.95,59,85,4.25,85.95
168,thatcham,51.4,-1.26,64.0,92,66,0.31,64.0
169,pacific grove,36.62,-121.92,59.09,92,36,0.6,62.01
170,saint-philippe,-21.36,55.77,60.24,52,90,11.41,66.2
171,port-cartier,50.03,-66.87,60.91,93,20,6.93,61.0
172,suntar,62.14,117.63,70.54,53,99,3.65,70.54
173,luau,-10.71,22.22,56.26,39,18,3.62,56.26
174,miyako,39.64,141.95,91.92,50,0,8.3,91.92
175,ekhabi,53.51,142.97,63.36,93,100,11.9,63.36
176,taksimo,56.34,114.88,75.9,44,59,0.85,75.9
177,saint-francois,46.42,3.91,62.33,82,9,1.12,62.6
178,sao filipe,14.9,-24.5,76.05,79,4,8.34,76.05
179,vanavara,60.34,102.28,83.43,35,0,1.21,83.43
180,nikolskoye,59.7,30.79,55.67,67,75,13.42,57.2
181,kununurra,-15.77,128.73,89.6,20,0,4.7,89.6
182,rabo de peixe,37.8,-25.58,69.8,77,20,11.41,69.8
183,galle,6.04,80.22,81.59,79,7,13.11,81.59
184,pyshma,56.95,63.25,60.17,93,100,12.84,60.17
185,mange,8.92,-12.85,73.0,98,100,2.62,73.0
186,codajas,-3.84,-62.06,76.59,66,46,1.83,76.59
187,alyangula,-13.85,136.42,84.2,32,21,12.75,84.2
188,gallup,35.53,-108.74,74.28,19,1,4.7,75.99
189,sanford,28.8,-81.27,78.33,78,1,4.7,80.6
190,pisco,-13.7,-76.22,57.54,87,2,4.7,57.99
191,tomatlan,19.93,-105.25,77.5,90,79,1.05,77.5
192,tura,25.52,90.22,76.95,96,100,4.85,76.95
193,ahipara,-35.17,173.17,59.45,86,67,12.95,59.45
194,peterhead,57.51,-1.8,55.47,100,90,4.7,55.99
195,namibe,-15.2,12.15,60.06,90,31,4.25,60.06
196,strezhevoy,60.73,77.59,73.4,60,0,8.95,73.4
197,kodiak,57.79,-152.41,66.2,42,1,10.29,66.2
198,petropavlovsk-kamchatskiy,53.05,158.65,68.0,68,20,15.66,68.0
199,ribeira brava,32.65,-17.07,70.2,73,40,6.93,71.6
200,norman wells,65.28,-126.83,62.6,88,75,5.82,62.6
201,mirnyy,62.54,113.96,71.6,43,40,11.18,71.6
202,beaufort,5.35,115.75,89.31,70,20,2.24,89.6
203,oshkosh,44.02,-88.54,68.72,77,1,9.17,69.8
204,hirara,24.8,125.28,88.54,79,75,20.8,89.6
205,ustyuzhna,58.84,36.43,55.56,84,67,7.36,55.56
206,millinocket,45.66,-68.71,69.98,83,20,3.06,71.6
207,mount isa,-20.73,139.5,77.0,16,0,5.82,77.0
208,colombo,6.93,79.85,82.4,83,40,4.7,82.4
209,basco,20.45,121.97,85.01,80,100,14.7,85.01
210,rocha,-34.48,-54.33,47.71,56,67,11.52,47.71
211,baykit,61.67,96.37,84.96,31,0,2.33,84.96
212,hurghada,27.26,33.81,86.0,28,0,6.93,86.0
213,lokosovo,61.13,74.82,75.74,53,9,10.45,75.74
214,talara,-4.58,-81.27,62.17,85,0,13.24,62.17
215,nhulunbuy,-12.23,136.77,82.4,45,20,8.05,82.4
216,burgersdorp,-31.0,26.33,37.27,70,0,7.23,37.27
217,vangaindrano,-23.35,47.6,60.12,83,0,3.0,60.12
218,cabo san lucas,22.89,-109.91,82.35,71,68,10.85,84.0
219,ostrovnoy,68.05,39.51,50.09,88,100,12.91,50.09
220,moussoro,13.64,16.49,78.08,72,90,9.13,78.08
221,laguna,38.42,-121.42,76.42,41,1,5.82,78.8
222,lavrentiya,65.58,-171.0,52.95,72,6,10.49,52.95
223,hami,42.8,93.45,78.37,42,0,7.85,78.37
224,bagdarin,54.43,113.6,70.16,60,86,3.04,70.16
225,mahebourg,-20.41,57.7,57.2,87,20,8.05,57.2
226,lasa,46.62,10.7,58.68,100,40,3.36,60.01
227,kouango,4.99,19.96,69.39,95,100,0.58,69.39
228,constitucion,-35.33,-72.42,45.64,61,0,17.54,45.64
229,champerico,14.3,-91.92,75.56,89,100,4.18,75.56
230,talnakh,69.49,88.4,55.4,93,75,4.47,55.4
231,bredasdorp,-34.53,20.04,46.4,93,15,3.36,46.4
232,samarinda,-0.5,117.15,95.45,48,33,2.39,95.45
233,san quintin,30.48,-115.95,68.13,79,0,11.86,68.13
234,vao,-22.67,167.48,70.92,79,28,20.6,70.92
235,san juan de la maguana,18.81,-71.23,73.87,83,100,0.4,73.87
236,yulara,-25.24,130.99,69.8,49,40,13.87,69.8
237,umm kaddadah,13.6,26.69,79.5,65,70,9.31,79.5
238,sal rei,16.18,-22.92,77.0,73,75,11.41,77.0
239,puerto lumbreras,37.56,-1.81,74.5,46,100,1.01,78.01
240,zeya,53.75,127.27,61.12,89,100,5.26,61.12
241,leshukonskoye,64.9,45.76,49.48,83,47,7.09,49.48
242,shelburne,44.08,-80.2,73.35,69,1,6.93,75.2
243,waingapu,-9.66,120.26,86.23,60,4,12.8,86.23
244,pilar,-9.6,-35.96,69.8,94,40,2.77,69.8
245,valleyview,55.07,-117.29,54.59,52,0,9.17,54.59
246,barra patuca,15.8,-84.28,81.0,85,100,10.16,81.0
247,sabang,5.89,95.32,84.15,75,60,15.41,84.15
248,san luis,-33.3,-66.34,39.61,54,0,10.45,39.61
249,potosi,-19.58,-65.75,42.53,56,58,3.69,42.53
250,nelson bay,-32.72,152.15,62.02,63,75,10.29,63.0
251,faanui,-16.48,-151.75,78.1,70,0,8.72,78.1
252,kiruna,67.86,20.23,44.6,93,24,3.36,44.6
253,lorengau,-2.02,147.27,86.09,64,4,5.99,86.09
254,sechura,-5.56,-80.82,61.83,80,0,7.67,61.83
255,lagoa,39.05,-27.98,69.53,69,84,11.36,69.53
256,esperance,-33.87,121.9,59.0,82,90,26.4,59.0
257,tokonou,9.65,-9.78,68.74,99,100,7.29,68.74
258,dulovo,43.82,27.15,69.19,42,15,5.17,73.0
259,port blair,11.67,92.75,84.9,76,100,17.25,84.9
260,vila do maio,15.13,-23.22,77.0,78,20,6.93,77.0
261,zhezkazgan,47.8,67.71,62.6,63,90,20.13,62.6
262,cruz alta,-28.64,-53.61,65.75,59,84,9.53,65.75
263,saint-louis,16.33,-15.0,82.4,69,99,4.7,82.4
264,vestmannaeyjar,63.44,-20.27,52.48,96,100,16.67,52.48
265,kon tum,14.35,108.0,80.76,76,92,4.32,80.76
266,fare,-16.7,-151.02,78.82,72,2,12.73,78.82
267,cabedelo,-6.98,-34.83,71.6,100,75,6.93,71.6
268,lahat,-3.8,103.53,92.52,46,50,1.95,92.52
269,brooks,50.58,-111.89,70.0,49,20,13.69,70.0
270,geraldton,-28.77,114.6,62.6,72,90,10.29,62.6
271,quzhou,28.96,118.87,89.58,65,45,2.64,89.58
272,uralets,57.66,59.65,48.87,98,100,11.21,48.87
273,naze,28.37,129.48,87.8,84,75,17.22,87.8
274,saint george,37.1,-113.58,90.99,7,1,11.41,93.2
275,srivardhan,18.03,73.02,80.74,84,100,10.78,80.74
276,bardiyah,31.76,25.09,75.58,83,0,10.33,75.58
277,kirakira,-10.45,161.92,83.93,73,100,11.39,83.93
278,culasian,11.31,124.61,90.19,60,74,4.36,90.19
279,naryan-mar,67.67,53.09,47.8,80,96,11.92,47.8
280,burnie,-41.07,145.92,54.0,65,98,8.99,54.0
281,banda aceh,5.56,95.32,87.04,63,92,11.23,87.04
282,chanute,37.68,-95.46,73.74,73,1,6.93,75.2
283,keetmanshoop,-26.58,18.13,50.0,34,0,9.17,50.0
284,victoria,22.29,114.16,87.67,76,100,4.0,89.01
285,bloemfontein,-29.12,26.21,24.8,85,0,2.24,24.8
286,borovskoy,53.8,64.15,64.81,76,88,5.77,64.81
287,tuyen quang,21.82,105.22,94.55,59,100,2.3,94.55
288,powell,40.16,-83.08,74.08,73,90,19.46,78.01
289,amapala,13.29,-87.65,79.21,82,100,5.97,79.21
290,muzhi,65.37,64.67,53.33,81,100,12.95,53.33
291,grand gaube,-20.01,57.66,66.0,67,98,5.01,66.0
292,cristobal obregon,16.35,-93.53,73.4,94,40,3.36,73.4
293,gambela,8.25,34.58,69.35,81,85,1.14,69.35
294,iglesias,39.31,8.54,73.38,68,0,4.7,75.2
295,kushikino,31.72,130.27,84.09,79,75,4.7,84.2
296,jacareacanga,-6.22,-57.75,72.91,52,1,1.41,72.91
297,coahuayana,18.73,-103.68,80.01,82,88,1.32,80.01
298,kavaratti,10.57,72.64,82.4,78,90,6.93,82.4
299,kirkenaer,60.46,12.06,53.98,87,67,4.7,55.4
300,boende,-0.22,20.87,71.37,93,31,1.16,71.37
301,bemidji,47.47,-94.88,60.35,63,1,4.7,62.6
302,nome,64.5,-165.41,53.42,76,1,11.41,55.0
303,fort nelson,58.81,-122.7,60.8,48,40,9.17,60.8
304,caravelas,-17.71,-39.25,69.1,90,25,5.17,69.1
305,aasiaat,68.71,-52.87,36.66,82,64,11.95,36.66
306,brenham,30.17,-96.4,84.09,74,1,9.17,86.0
307,bosaso,11.28,49.18,91.4,39,100,12.44,91.4
